Legal,Statement
262,มาตรา 262  ถ้าการเช่าอสังหาริมทรัพย์ได้โอนไปก็ดี หรือได้ให้เช่าช่วงก็ดี บุริมสิทธิของผู้ให้เช่าเดิมย่อมครอบไปถึงสังหาริมทรัพย์ซึ่งผู้รับโอน หรือผู้เช่าช่วงได้นำเข้ามาไว้ในทรัพย์สินนั้นด้วย ความที่กล่าวนี้ท่านให้ใช้ได้ตลอดถึงเงินอันผู้โอน หรือผู้ให้เช่าช่วงจะพึงได้รับจากผู้รับโอนหรือผู้เช่าช่วงนั้นด้วย
263,มาตรา 263  ในกรณีที่ผู้เช่าต้องชำระบัญชีเฉลี่ยทรัพย์สินทั่วไปนั้น บุริมสิทธิของผู้ให้เช่าย่อมมีอยู่แต่เฉพาะสำหรับเอาใช้ค่าเช่า และหนี้อย่างอื่นเท่าที่มีในระยะกำหนดส่งค่าเช่าเพียงสามระยะ คือปัจจุบันระยะหนึ่ง ก่อนนั้นขึ้นไประยะหนึ่ง และต่อไปภายหน้าอีกระยะหนึ่งเท่านั้น และใช้สำหรับเอาค่าเสียหายซึ่งเกิดขึ้นในระยะกำหนดส่งค่าเช่าปัจจุบัน และก่อนนั้นขึ้นไปอีกระยะหนึ่งด้วย
264,มาตรา 264  ในการเรียกร้องของผู้ให้เช่า ถ้าผู้ให้เช่าได้รับเงินประกันไว้ ผู้ให้เช่าย่อมมีบุริมสิทธิแต่เพียงในส่วนที่ไม่มีเงินประกัน
265,มาตรา 265  บุริมสิทธิในมูลพักอาศัยในโรงแรมนั้น ใช้สำหรับเอาเงินบรรดาที่ค้างชำระแก่เจ้าสำนักเพื่อการพักอาศัยและการอื่น ๆ อันได้จัดให้สำเร็จความปรารถนาแก่คนเดินทาง หรือแขกอาศัย รวมทั้งการชดใช้เงินทั้งหลายที่ได้ออกแทนไปและมีอยู่เหนือเครื่องเดินทาง หรือทรัพย์สินอย่างอื่นของคนเดินทาง หรือแขกอาศัยอันเอาไว้ในโรงแรม โฮเต็ล หรือสถานที่เช่นนั้น
266,มาตรา 266  ผู้ให้เช่าอสังหาริมทรัพย์ หรือเจ้าสำนักโรงแรม โฮเต็ล หรือสถานที่เช่นนั้น จะใช้บุริมสิทธิของตนบังคับทำนองเดียวกับผู้รับจำนำก็ได้ บทบัญญัติทั้งหลายแห่งประมวลกฎหมายนี้ว่าด้วยการบังคับจำนำนั้น ท่านให้นำมาใช้บังคับด้วยโดยอนุโลม
267,มาตรา 267  บุริมสิทธิในมูลรับขนนั้น ใช้สำหรับเอาค่าระวางพาหนะในการรับขนคนโดยสารหรือของ กับทั้งค่าใช้จ่ายอันเป็นอุปกรณ์ และเป็นบุริมสิทธิมีอยู่เหนือของและเครื่องเดินทางทั้งหมดอันอยู่ในมือของผู้ขนส่ง
268,มาตรา 268  ในกรณีดังได้ปรารภไว้ในความแปดมาตราก่อนนี้นั้น ผู้ให้เช่าอสังหาริมทรัพย์ก็ดี เจ้าสำนักโรงแรมก็ดี หรือผู้ขนส่งก็ดี จะใช้บุริมสิทธิของตนเหนือสังหาริมทรัพย์อันเป็นของบุคคลภายนอกก็ได้ เว้นแต่ตนจะได้รู้ในเวลาอันควรรู้ได้ว่าทรัพย์สินเหล่านั้นเป็นของบุคคลภายนอก ถ้าสังหาริมทรัพย์นั้นถูกลักหรือสูญหาย ท่านให้บังคับตามบทกฎหมายว่าด้วยการแสวงคืนครองทรัพย์
269,มาตรา 269  บุริมสิทธิในมูลรักษาสังหาริมทรัพย์นั้น ใช้สำหรับเอาค่าใช้จ่ายเพื่อรักษาสังหาริมทรัพย์ และมีอยู่เหนือสังหาริมทรัพย์อันนั้น อนึ่งบุริมสิทธินี้ยังใช้สำหรับเอาค่าใช้จ่ายที่จำเป็นอันได้เสียไปเพื่อที่จะสงวนสิทธิ หรือรับสภาพสิทธิ หรือบังคับสิทธิ อันเกี่ยวด้วยสังหาริมทรัพย์นั้นอีกด้วย
270,มาตรา 270  บุริมสิทธิในมูลซื้อขายสังหาริมทรัพย์นั้น ใช้สำหรับเอาราคาซื้อขายและดอกเบี้ยในราคานั้น และมีอยู่เหนือสังหาริมทรัพย์อันนั้น
271,มาตรา 271  บุริมสิทธิในมูลค่าเมล็ดพันธุ์ ไม้พันธุ์ หรือปุ๋ยนั้น ใช้สำหรับเอาราคาค่าเมล็ดพันธุ์ ไม้พันธุ์ หรือปุ๋ย และดอกเบี้ยในราคานั้น และมีอยู่เหนือดอกผลอันเกิดงอกในที่ดินเพราะใช้สิ่งเหล่านั้นภายในปีหนึ่งนับแต่เวลาที่ใช้
272,มาตรา 272  บุริมสิทธิในมูลค่าแรงงานเพื่อกสิกรรมและอุตสาหกรรมนั้น ในส่วนบุคคลที่ได้ทำการงานกสิกรรม ใช้สำหรับเอาค่าจ้างนับถอยหลังขึ้นไปปีหนึ่ง และในส่วนบุคคลที่ได้ทำการงานอุตสาหกรรม ใช้สำหรับเอาค่าจ้างนับถอยหลังขึ้นไปสามเดือน และเป็นบุริมสิทธิมีอยู่เหนือดอกผลหรือสิ่งของที่ประดิษฐ์ขึ้นอันเกิดแต่แรงงานของบุคคลนั้น ๆ
273,มาตรา 273  ถ้าหนี้มีอยู่เป็นคุณแก่บุคคลผู้ใดในมูลอย่างหนึ่งอย่างใดดังจะกล่าวต่อไปนี้ บุคคลผู้นั้นย่อมมีบุริมสิทธิเหนืออสังหาริมทรัพย์เฉพาะอย่างของลูกหนี้ คือ (1) รักษาอสังหาริมทรัพย์ (2) จ้างทำของเป็นการงานทำขึ้นบนอสังหาริมทรัพย์ (3) ซื้อขายอสังหาริมทรัพย์
274,มาตรา 274  บุริมสิทธิในมูลรักษาอสังหาริมทรัพย์นั้นใช้สำหรับเอาค่าใช้จ่ายเพื่อรักษาอสังหาริมทรัพย์ และมีอยู่เหนืออสังหาริมทรัพย์อันนั้น อนึ่งบทบัญญัติแห่งมาตรา 269 วรรคสองนั้น ท่านให้นำมาใช้บังคับแก่กรณีที่กล่าวมาในวรรคก่อนนี้ด้วย
275,มาตรา 275  บุริมสิทธิในมูลจ้างทำของเป็นการงานทำขึ้นบนอสังหาริมทรัพย์นั้น ใช้สำหรับเอาสินจ้าง ค่าทำของเป็นการงานอันผู้ก่อสร้าง สถาปนิก หรือผู้รับจ้างได้ทำลงบนอสังหาริมทรัพย์ของลูกหนี้ และมีอยู่เหนืออสังหาริมทรัพย์อันนั้น อนึ่ง บุริมสิทธินี้ย่อมเกิดมีขึ้นต่อเมื่ออสังหาริมทรัพย์นั้นมีราคาเพิ่มขึ้นในปัจจุบันเพราะการที่ได้ทำขึ้นนั้น และมีอยู่เพียงเหนือราคาที่เพิ่มขึ้นเท่านั้น
276,มาตรา 276  บุริมสิทธิในมูลซื้อขายอสังหาริมทรัพย์นั้นใช้สำหรับเอาราคาอสังหาริมทรัพย์และดอกเบี้ยในราคานั้น และมีอยู่เหนืออสังหาริมทรัพย์อันนั้น
277,มาตรา 277  เมื่อมีบุริมสิทธิสามัญหลายรายแย้งกัน ท่านให้ถือว่าบุริมสิทธิทั้งหลายนั้นมีลำดับที่จะให้ผลก่อนหลัง ดังที่ได้เรียงลำดับไว้ในมาตรา 253 เมื่อมีบุริมสิทธิสามัญแย้งกับบุริมสิทธิพิเศษ ท่านว่าบุริมสิทธิพิเศษย่อมอยู่ในลำดับก่อน แต่บุริมสิทธิในมูลค่าใช้จ่ายเพื่อประโยชน์ร่วมกันนั้นย่อมอยู่ในลำดับก่อนในฐานที่จะใช้สิทธินั้นต่อเจ้าหนี้ผู้ได้รับประโยชน์จากการนั้นหมดทุกคนด้วยกัน
278,มาตรา 278  เมื่อมีบุริมสิทธิแย้งกันหลายรายเหนือสังหาริมทรัพย์อันหนึ่งอันเดียวกัน ท่านให้ถือลำดับก่อนหลังดังที่เรียงไว้ต่อไปนี้ คือ (1) บุริมสิทธิในมูลเช่าอสังหาริมทรัพย์ พักอาศัยในโรงแรมและรับขน (2) บุริมสิทธิในมูลรักษาสังหาริมทรัพย์ แต่ถ้ามีบุคคลหลายคนเป็นผู้รักษา ท่านว่าผู้ที่รักษาภายหลังอยู่ในลำดับก่อนผู้ที่ได้รักษามาก่อน (3) บุริมสิทธิในมูลซื้อขายสังหาริมทรัพย์ ค่าเมล็ดพันธุ์ ไม้พันธุ์ หรือปุ๋ย และค่าแรงงานกสิกรรมและอุตสาหกรรม ถ้าบุคคลผู้ใดมีบุริมสิทธิอยู่ในลำดับเป็นที่หนึ่ง และรู้อยู่ในขณะที่ตนได้ประโยชน์แห่งหนี้มานั้น ว่ายังมีบุคคลอื่นซึ่งมีบุริมสิทธิอยู่ในลำดับที่สองหรือที่สามไซร้ ท่านห้ามมิให้บุคคลผู้นั้นใช้สิทธิในการที่ตนอยู่ในลำดับก่อนนั้นต่อบุคคลอื่นเช่นว่ามา และท่านห้ามมิให้ใช้สิทธินี้ต่อผู้ที่ได้รักษาทรัพย์ไว้ เพื่อประโยชน์แก่บุคคลผู้มีบุริมสิทธิในลำดับที่หนึ่งนั้นเองด้วย ในส่วนดอกผล ท่านให้บุคคลผู้ได้ทำการงานกสิกรรมอยู่ในลำดับที่หนึ่ง ผู้ส่งเมล็ดพันธุ์ ไม้พันธุ์ หรือปุ๋ย อยู่ในลำดับที่สอง และให้ผู้เช่าที่ดินอยู่ในลำดับที่สาม
279,มาตรา 279  เมื่อมีบุริมสิทธิพิเศษแย้งกันหลายรายเหนืออสังหาริมทรัพย์อันหนึ่งอันเดียวกัน ท่านให้ถือลำดับก่อนหลังดังที่ได้เรียงลำดับไว้ในมาตรา 273 ถ้าได้ซื้อขายอสังหาริมทรัพย์นั้นสืบต่อกันไปอีกไซร้ ลำดับก่อนหลังในระหว่างผู้ขายด้วยกันนั้น ท่านให้เป็นไปตามลำดับที่ได้ซื้อขายก่อนและหลัง
280,มาตรา 280  เมื่อบุคคลหลายคนมีบุริมสิทธิในลำดับเสมอกันเหนือทรัพย์อันหนึ่งอันเดียวกัน ท่านให้ต่างคนต่างได้รับชำระหนี้เฉลี่ยตามส่วนมากน้อยแห่งจำนวนที่ตนเป็นเจ้าหนี้
281,มาตรา 281  บุริมสิทธิอันมีอยู่เหนือสังหาริมทรัพย์นั้น ท่านห้ามมิให้ใช้ เมื่อบุคคลภายนอกได้ทรัพย์นั้นจากลูกหนี้และได้ส่งมอบทรัพย์ให้กันไปเสร็จแล้ว
282,มาตรา 282  เมื่อมีบุริมสิทธิแย้งกับสิทธิจำนำสังหาริมทรัพย์ ท่านว่าผู้รับจำนำย่อมมีสิทธิเป็นอย่างเดียวกันกับผู้ทรงบุริมสิทธิในลำดับที่หนึ่งดังที่เรียงไว้ในมาตรา 278 นั้น
283,มาตรา 283  บุคคลผู้มีบุริมสิทธิสามัญต้องรับชำระหนี้เอาจากสังหาริมทรัพย์ของลูกหนี้ก่อน ต่อเมื่อยังไม่พอจึงให้เอาชำระหนี้จากอสังหาริมทรัพย์ได้ ในส่วนอสังหาริมทรัพย์นั้น ก็ต้องรับชำระหนี้เอาจากอสังหาริมทรัพย์ อันมิได้ตกอยู่ในฐานเป็นหลักประกันพิเศษเสียก่อน ถ้าบุคคลใดมีบุริมสิทธิสามัญและละเลยด้วยความประมาทเลินเล่อไม่สอดเข้าแย้งขัดในการแบ่งเฉลี่ยทรัพย์ ตามความที่กล่าวมาในวรรคทั้งสองข้างบนนี้ไซร้ อันบุคคลนั้นจะใช้บุริมสิทธิของตนต่อบุคคลภายนอกผู้ได้จดทะเบียนสิทธิไว้แล้วเพื่อจะเอาใช้จนถึงขนาดเช่นที่ตนจะหากได้รับเพราะได้สอดเข้าแย้งขัดนั้น ท่านว่าหาอาจจะใช้ได้ไม่ อนึ่ง บทบัญญัติที่กล่าวมาในวรรคทั้งสามข้างต้นนี้ท่านมิให้ใช้บังคับ หากว่าเงินที่ขายอสังหาริมทรัพย์ได้นั้น จะพึงต้องเอามาแบ่งเฉลี่ยก่อนเงินที่ขายทรัพย์สินอย่างอื่นก็ดี หรือหากว่าเงินที่ขายอสังหาริมทรัพย์อันตกอยู่ในฐานเป็นหลักประกันพิเศษนั้น จะพึงต้องเอามาแบ่งเฉลี่ยก่อนเงินที่ขายอสังหาริมทรัพย์อย่างอื่นก็ดุจกัน
284,มาตรา 284  บุริมสิทธิสามัญนั้น ถึงแม้จะมิได้ไปลงทะเบียนเกี่ยวด้วยอสังหาริมทรัพย์ก็ดี ย่อมจะยกขึ้นเป็นข้อต่อสู้เจ้าหนี้ใด ๆ ที่ไม่มีหลักประกันพิเศษนั้นได้ แต่ความที่กล่าวนี้ท่านมิให้ใช้ไปถึงการต่อสู้บุคคลภายนอกผู้ได้ไปลงทะเบียนสิทธิไว้
285,มาตรา 285  บุริมสิทธิในมูลรักษาอสังหาริมทรัพย์นั้น ถ้าหากว่าเมื่อทำการเพื่อบำรุงรักษานั้นสำเร็จแล้ว ไปบอกลงทะเบียนไว้โดยพลันไซร้ บุริมสิทธิก็คงให้ผลต่อไป
286,มาตรา 286  บุริมสิทธิในมูลจ้างทำของเป็นการงานทำขึ้นบนอสังหาริมทรัพย์นั้น หากทำรายการประมาณราคาชั่วคราวไปบอกลงทะเบียนไว้ก่อนเริ่มลงมือการทำไซร้ บุริมสิทธิก็คงให้ผลต่อไป แต่ถ้าราคาที่ทำจริงนั้นล้ำราคาที่ได้ประมาณไว้ชั่วคราว ท่านว่าบุริมสิทธิในส่วนจำนวนที่ล้ำอยู่นั้นหามีไม่ ส่วนการที่จะวินิจฉัยว่าอสังหาริมทรัพย์นั้นมีราคาเพิ่มขึ้นเพราะการอันได้ทำขึ้นบนอสังหาริมทรัพย์มากน้อยเพียงใดนั้น ท่านให้ศาลตั้งแต่งผู้เชี่ยวชาญขึ้นเป็นผู้กะประมาณ ในเวลาที่มีแย้งขัดในการแบ่งเฉลี่ย
287,มาตรา 287  บุริมสิทธิใดได้ไปจดลงทะเบียนแล้วตามบทบัญญัติแห่งมาตราทั้งสองข้างบนนี้ บุริมสิทธินั้นท่านว่าอาจจะใช้ได้ก่อนสิทธิจำนอง
288,มาตรา 288  บุริมสิทธิในมูลซื้อขายอสังหาริมทรัพย์นั้น หากว่าเมื่อไปลงทะเบียนสัญญาซื้อขายนั้น บอกลงทะเบียนไว้ด้วยว่าราคาหรือดอกเบี้ยในราคานั้นยังมิได้ชำระไซร้ บุริมสิทธินั้นก็คงให้ผลต่อไป
289,มาตรา 289  ว่าถึงผลแห่งบุริมสิทธิ นอกจากที่ได้บัญญัติไว้ในมาตรา 281 ถึง 288 นี้แล้ว ท่านให้นำบทบัญญัติทั้งหลายแห่งลักษณะจำนองมาใช้บังคับด้วยตามแต่กรณี
290,มาตรา 290  ถ้าการชำระหนี้เป็นการอันจะแบ่งกันชำระได้และมีบุคคลหลายคนเป็นลูกหนี้ก็ดี มีบุคคลหลายคนเป็นเจ้าหนี้ก็ดี เมื่อกรณีเป็นที่สงสัย ท่านว่าลูกหนี้แต่ละคนจะต้องรับผิดเพียงเป็นส่วนเท่า ๆ กันและเจ้าหนี้แต่ละคนก็ชอบที่จะได้รับแต่เพียงเป็นส่วนเท่า ๆ กัน
291,มาตรา 291  ถ้าบุคคลหลายคนจะต้องทำการชำระหนี้โดยทำนองซึ่งแต่ละคนจำต้องชำระหนี้สิ้นเชิงไซร้ แม้ถึงว่าเจ้าหนี้ชอบที่จะได้รับชำระหนี้สิ้นเชิงได้แต่เพียงครั้งเดียว (กล่าวคือลูกหนี้ร่วมกัน) ก็ดี เจ้าหนี้จะเรียกชำระหนี้จากลูกหนี้แต่คนใดคนหนึ่งสิ้นเชิงหรือแต่โดยส่วนก็ได้ตามแต่จะเลือก แต่ลูกหนี้ทั้งปวงก็ยังคงต้องผูกพันอยู่ทั่วทุกคนจนกว่าหนี้นั้นจะได้ชำระเสร็จสิ้นเชิง
292,มาตรา 292  การที่ลูกหนี้ร่วมกันคนหนึ่งชำระหนี้นั้น ย่อมได้เป็นประโยชน์แก่ลูกหนี้คนอื่น ๆ ด้วย วิธีเดียวกันนี้ท่านให้ใช้บังคับแก่การใด ๆ อันพึงกระทำแทนชำระหนี้ วางทรัพย์สินแทนชำระหนี้ และหักกลบลบหนี้ด้วย ลูกหนี้ร่วมกันคนหนึ่งมีสิทธิเรียกร้องอย่างไร ลูกหนี้คนอื่น ๆ จะเอาสิทธิอันนั้นไปใช้หักกลบลบหนี้หาได้ไม่
293,มาตรา 293  การปลดหนี้ให้แก่ลูกหนี้ร่วมกันคนหนึ่งนั้น ย่อมเป็นไปเพื่อประโยชน์แก่ลูกหนี้คนอื่น ๆ เพียงเท่าส่วนของลูกหนี้ที่ได้ปลดให้ เว้นแต่จะได้ตกลงกันเป็นอย่างอื่น
294,มาตรา 294  การที่เจ้าหนี้ผิดนัดต่อลูกหนี้ร่วมกันคนหนึ่งนั้น ย่อมได้เป็นคุณประโยชน์แก่ลูกหนี้คนอื่น ๆ ด้วย
295,มาตรา 295  ข้อความจริงอื่นใด นอกจากที่ระบุไว้ในมาตรา 292 ถึง 294 นั้น เมื่อเป็นเรื่องเท้าถึงตัวลูกหนี้ร่วมกันคนใดก็ย่อมเป็นไปเพื่อคุณและโทษแต่เฉพาะแก่ลูกหนี้คนนั้น เว้นแต่จะปรากฏว่าขัดกับสภาพแห่งหนี้นั้นเอง ความที่ว่ามานี้ เมื่อจะกล่าวโดยเฉพาะก็คือว่าให้ใช้แก่การให้คำบอกกล่าวการผิดนัด การที่หยิบยกอ้างความผิด การชำระหนี้อันเป็นพ้นวิสัยแก่ฝ่ายลูกหนี้ร่วมกันคนหนึ่ง กำหนดอายุความหรือการที่อายุความสะดุดหยุดลง และการที่สิทธิเรียกร้องเกลื่อนกลืนกันไปกับหนี้สิน
296,มาตรา 296  ในระหว่างลูกหนี้ร่วมกันทั้งหลายนั้น ท่านว่าต่างคนต่างต้องรับผิดเป็นส่วนเท่า ๆ กัน เว้นแต่จะได้กำหนดไว้เป็นอย่างอื่น ถ้าส่วนที่ลูกหนี้ร่วมกันคนใดคนหนึ่งจะพึงชำระนั้น เป็นอันจะเรียกเอาจากคนนั้นไม่ได้ไซร้ ยังขาดจำนวนอยู่เท่าไรลูกหนี้คนอื่น ๆ ซึ่งจำต้องออกส่วนด้วยนั้นก็ต้องรับใช้ แต่ถ้าลูกหนี้ร่วมกันคนใดเจ้าหนี้ได้ปลดให้หลุดพ้นจากหนี้อันร่วมกันนั้นแล้ว ส่วนที่ลูกหนี้คนนั้นจะพึงต้องชำระหนี้ก็ตกเป็นพับแก่เจ้าหนี้ไป
297,มาตรา 297  ถ้าในสัญญาอันหนึ่งอันใดมีบุคคลหลายคนร่วมกันผูกพันตนในอันจะทำการชำระหนี้ไซร้ หากกรณีเป็นที่สงสัย ท่านว่าบุคคลเหล่านั้นจะต้องรับผิดเช่นอย่างเป็นลูกหนี้ร่วมกัน แม้ถึงว่าเป็นการอันจะแบ่งกันชำระหนี้ได้
298,มาตรา 298  ถ้าบุคคลหลายคนมีสิทธิเรียกร้องการชำระหนี้ โดยทำนองซึ่งแต่ละคนอาจจะเรียกให้ชำระหนี้สิ้นเชิงได้ไซร้ แม้ถึงว่าลูกหนี้จำต้องชำระหนี้สิ้นเชิงแต่เพียงครั้งเดียว (กล่าวคือเจ้าหนี้ร่วมกัน) ก็ดี ท่านว่าลูกหนี้จะชำระหนี้ให้แก่เจ้าหนี้แต่คนใดคนหนึ่งก็ได้ตามแต่จะเลือก ความข้อนี้ให้ใช้บังคับได้ แม้ทั้งที่เจ้าหนี้คนหนึ่งจะได้ยื่นฟ้องเรียกชำระหนี้ไว้แล้ว
299,มาตรา 299  การที่เจ้าหนี้ร่วมกันคนหนึ่งผิดนัดนั้น ย่อมเป็นโทษแก่เจ้าหนี้คนอื่น ๆ ด้วย ถ้าสิทธิเรียกร้องและหนี้สินนั้นเป็นอันเกลื่อนกลืนกันไปในเจ้าหนี้ร่วมกันคนหนึ่ง สิทธิของเจ้าหนี้คนอื่น ๆ อันมีต่อลูกหนี้ก็ย่อมเป็นอันระงับสิ้นไป นอกจากนี้ ท่านให้นำบทบัญญัติแห่งมาตรา 292 293 และ 295 มาใช้บังคับด้วยโดยอนุโลม กล่าวโดยเฉพาะก็คือ แม้เจ้าหนี้ร่วมกันคนหนึ่งจะโอนสิทธิเรียกร้องให้แก่บุคคลอื่นไปก็หากระทบกระทั่งถึงสิทธิของเจ้าหนี้คนอื่น ๆ ด้วยไม่
300,มาตรา 300  ในระหว่างเจ้าหนี้ร่วมกันนั้น ท่านว่าต่างคนชอบที่จะได้รับชำระหนี้เป็นส่วนเท่า ๆ กัน เว้นแต่จะได้กำหนดไว้เป็นอย่างอื่น
301,มาตรา 301  ถ้าบุคคลหลายคนเป็นหนี้อันจะแบ่งกันชำระมิได้ ท่านว่าบุคคลเหล่านั้นต้องรับผิดเช่นอย่างลูกหนี้ร่วมกัน
302,มาตรา 302  ถ้าการชำระหนี้เป็นการอันจะแบ่งกันชำระมิได้ และมีบุคคลหลายคนเป็นเจ้าหนี้ ถ้าบุคคลเหล่านั้นมิได้เป็นเจ้าหนี้ร่วมกันไซร้ ท่านว่าลูกหนี้ได้แต่จะชำระหนี้ให้ได้ประโยชน์แก่บุคคลเหล่านั้นทั้งหมดด้วยกัน และเจ้าหนี้แต่ละคนจะเรียกชำระหนี้ได้ก็แต่เพื่อได้ประโยชน์ด้วยกันหมดทุกคนเท่านั้น อนึ่งเจ้าหนี้แต่ละคนจะเรียกให้ลูกหนี้วางทรัพย์ที่เป็นหนี้นั้นไว้เพื่อประโยชน์แห่งเจ้าหนี้หมดทุกคนด้วยกันก็ได้ หรือถ้าทรัพย์นั้นไม่ควรแก่การจะวางไว้ก็ให้ส่งแก่ผู้พิทักษ์ทรัพย์ซึ่งศาลจะได้ตั้งแต่งขึ้น นอกจากนี้ ข้อความจริงใดที่เท้าถึงเจ้าหนี้คนหนึ่งเท่านั้นหาเป็นไปเพื่อคุณหรือโทษแก่เจ้าหนี้คนอื่น ๆ ด้วยไม่     
303,มาตรา 303  สิทธิเรียกร้องนั้นท่านว่าจะพึงโอนกันได้ เว้นไว้แต่สภาพแห่งสิทธินั้นเองจะไม่เปิดช่องให้โอนกันได้ ความที่กล่าวมานี้ย่อมไม่ใช้บังคับ หากคู่กรณีได้แสดงเจตนาเป็นอย่างอื่น การแสดงเจตนาเช่นว่านี้ ท่านห้ามมิให้ยกขึ้นเป็นข้อต่อสู้บุคคลภายนอกผู้กระทำการโดยสุจริต
304,มาตรา 304  สิทธิเรียกร้องเช่นใด ตามกฎหมายศาลจะสั่งยึดไม่ได้ สิทธิเรียกร้องเช่นนั้น ท่านว่าจะโอนกันหาได้ไม่
305,มาตรา 305  เมื่อโอนสิทธิเรียกร้องไป สิทธิจำนอง จำนำ หรือหลักประกันทางธุรกิจที่มีอยู่เกี่ยวพันกับสิทธิเรียกร้องนั้นก็ดี สิทธิอันเกิดขึ้นแต่การค้ำประกันที่ให้ไว้เพื่อสิทธิเรียกร้องนั้นก็ดี ย่อมตกไปได้แก่ผู้รับโอนด้วย อนึ่งผู้รับโอนจะใช้บุริมสิทธิใด ๆ ที่ตนมีอยู่เกี่ยวด้วยสิทธิเรียกร้องในกรณีบังคับยึดทรัพย์หรือล้มละลายนั้นก็ได้
306,มาตรา 306  การโอนหนี้อันจะพึงต้องชำระแก่เจ้าหนี้คนหนึ่งโดยเฉพาะเจาะจงนั้นถ้าไม่ทำเป็นหนังสือ ท่านว่าไม่สมบูรณ์ อนึ่งการโอนหนี้นั้นท่านว่าจะยกขึ้นเป็นข้อต่อสู้ลูกหนี้หรือบุคคลภายนอกได้แต่เมื่อได้บอกกล่าวการโอนไปยังลูกหนี้หรือลูกหนี้จะได้ยินยอมด้วยในการโอนนั้น คำบอกกล่าวหรือความยินยอมเช่นว่านี้ท่านว่าต้องทำเป็นหนังสือ ถ้าลูกหนี้ทำให้พอแก่ใจผู้โอนด้วยการใช้เงิน หรือด้วยประการอื่นเสียแต่ก่อนได้รับบอกกล่าว หรือก่อนได้ตกลงให้โอนไซร้ ลูกหนี้นั้นก็เป็นอันหลุดพ้นจากหนี้
307,มาตรา 307  ถ้าพิพาทอ้างสิทธิในการโอนต่างราย โอนรายใดได้บอกกล่าวหรือตกลงกันก่อน โอนรายนั้นมีสิทธิดีกว่าโอนรายอื่น ๆ
308,มาตรา 308  ถ้าลูกหนี้ได้ให้ความยินยอมดังกล่าวมาในมาตรา 306 โดยมิได้อิดเอื้อน ท่านว่าจะยกข้อต่อสู้ที่มีต่อผู้โอนขึ้นต่อสู้ผู้รับโอนนั้นหาได้ไม่ แต่ถ้าเพื่อจะระงับหนี้นั้นลูกหนี้ได้ใช้เงินให้แก่ผู้โอนไปไซร้ ลูกหนี้จะเรียกคืนเงินนั้นก็ได้ หรือถ้าเพื่อการเช่นกล่าวมานั้น ลูกหนี้รับภาระเป็นหนี้อย่างใดอย่างหนึ่งขึ้นใหม่ต่อผู้โอน จะถือเสมือนหนึ่งว่าหนี้นั้นมิได้ก่อขึ้นเลยก็ได้ ถ้าลูกหนี้เป็นแต่ได้รับคำบอกกล่าวการโอน ท่านว่าลูกหนี้มีข้อต่อสู้ผู้โอนก่อนเวลาที่ได้รับคำบอกกล่าวนั้นฉันใด ก็จะยกขึ้นเป็นข้อต่อสู้แก่ผู้รับโอนได้ฉันนั้น ถ้าลูกหนี้มีสิทธิเรียกร้องจากผู้โอน แต่สิทธินั้นยังไม่ถึงกำหนดในเวลาบอกกล่าวไซร้ ท่านว่าจะเอาสิทธิเรียกร้องนั้นมาหักกลบลบกันก็ได้ หากว่าสิทธินั้นจะได้ถึงกำหนดไม่ช้ากว่าเวลาถึงกำหนดแห่งสิทธิเรียกร้องอันได้โอนไปนั้น
309,มาตรา 309  การโอนหนี้อันพึงต้องชำระตามเขาสั่งนั้น ท่านว่าจะยกขึ้นเป็นข้อต่อสู้ลูกหนี้ หรือบุคคลภายนอกคนอื่นได้แต่เฉพาะเมื่อการโอนนั้นได้สลักหลังไว้ในตราสาร และตัวตราสารนั้นได้ส่งมอบให้แก่ผู้รับโอนไปด้วย
310,มาตรา 310  ในมูลหนี้อันพึงต้องชำระตามเขาสั่งนั้น ลูกหนี้มีสิทธิที่จะสอบสวนถึงตัวผู้ทรงตราสาร หรือสอบสวนความถูกต้องแท้จริงแห่งลายมือชื่อหรือดวงตราของผู้ทรงได้ แต่ก็หามีความผูกพันที่จะต้องทำถึงเพียงนั้นไม่ แต่ถ้าลูกหนี้ทำการโดยทุจริตหรือประมาทเลินเล่ออย่างร้ายแรงไซร้ การชำระหนี้นั้นก็ไม่เป็นอันสมบูรณ์
311,มาตรา 311  บทบัญญัติแห่งมาตราก่อนนี้ ท่านให้ใช้บังคับตลอดถึงกรณีที่มีกำหนดตัวเจ้าหนี้ระบุไว้ในตราสาร ซึ่งมีข้อความจดไว้ด้วยว่าให้ชำระหนี้แก่ผู้ทรงตราสาร
312,มาตรา 312  ในมูลหนี้อันพึงต้องชำระตามเขาสั่งนั้น ลูกหนี้จะยกข้อต่อสู้ซึ่งมีต่อเจ้าหนี้เดิมขึ้นเป็นข้อต่อสู้ผู้รับโอนโดยสุจริตนั้นหาได้ไม่ เว้นแต่ที่ปรากฏในตัวตราสารนั้นเอง หรือที่มีขึ้นเป็นธรรมดาสืบจากลักษณะแห่งตราสารนั้น
313,มาตรา 313  บทบัญญัติแห่งมาตราก่อนนี้ ท่านให้ใช้บังคับตลอดถึงหนี้อันพึงต้องชำระแก่ผู้ถือนั้นด้วย แล้วแต่กรณี
